number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
118,COMPLETE,10.44999999999998,64,256,0.0008570816715702977,3,8000,0.39497435716624774,0.5295578979168236,0.6444899092986139
119,PRUNED,7.900999999999987,64,256,9.809271525493008e-05,5,500,0.6470313513196704,0.3264194228093549,0.5160063995557423
120,PRUNED,25.87900000000007,128,512,0.0008567525637720531,5,8000,0.44687977665846423,0.46894518615937386,0.49471301214918495
121,PRUNED,3.9049999999999976,32,256,3.977294386539669e-05,1,2000,0.578878656056301,0.5786589568096501,0.46107758322675063
122,PRUNED,104.42399999999951,32,256,0.0001892611004145747,5,1000,0.6662640956374564,0.36973186628160404,0.30899397159651243
123,COMPLETE,139.59999999999707,128,256,0.00013247208585745213,3,8000,0.6197103666673888,0.3006949409302934,0.4245894672922966
124,PRUNED,18.138000000000044,128,256,0.00017919461664570618,3,8000,0.582926627460148,0.38171305809048095,0.3890623489754147
125,PRUNED,35.31699999999989,32,256,0.000704480172949818,5,1000,0.6364723988846942,0.3101026332432452,0.32964244857912606
126,PRUNED,7.891999999999993,128,256,0.00010777946850205655,3,8000,0.6959218878834204,0.3710298336962159,0.4573568228467388
127,PRUNED,88.01499999999943,64,512,0.0006551530547440374,3,8000,0.3385795717411404,0.48603191674861135,0.6110670765582538
128,PRUNED,79.4859999999992,128,256,0.0006216722291191098,3,8000,0.6938868242876037,0.34730396126243734,0.43880125602542036
129,PRUNED,11.165000000000006,32,256,0.00010611617534896464,5,2000,0.6545494561607982,0.32047895466968773,0.4672801016492004
130,PRUNED,91.23299999999915,32,256,0.0004858293283818932,5,2000,0.6001194003388349,0.5824287557216326,0.5968521467571072
131,COMPLETE,11.249999999999993,128,512,0.0007256233433567191,3,1000,0.36648475861266716,0.5796098083467727,0.6838163973078926
132,PRUNED,293.21200000001073,64,512,0.0003407825785844734,3,1000,0.6250510875718268,0.35260719829006887,0.429882464424888
133,COMPLETE,11.19999999999998,64,256,7.763749760761085e-05,5,1000,0.6490363493964432,0.3688647572468577,0.3773441310312136
134,PRUNED,4.464999999999997,64,512,0.00021232487126581889,1,500,0.6270688231379988,0.3715080664430923,0.37463014574719533
135,PRUNED,8.917999999999992,64,256,7.769493038652534e-05,5,1000,0.6557110785737842,0.42606011967205665,0.4497956084044219
136,PRUNED,11.623999999999999,64,256,7.754342349781975e-05,5,1000,0.6678846519313004,0.40280033436055673,0.3859703798665095
137,COMPLETE,3.9999999999999982,64,256,0.00028921982733730377,3,1000,0.696960152886916,0.41451473680519607,0.38029642085248994
138,COMPLETE,32.200000000000166,128,256,0.00013219218756516996,5,500,0.670954124475069,0.3131891441178331,0.39105890468563165
139,PRUNED,121.83000000000125,128,512,0.000427967581605442,3,8000,0.41093489353339496,0.5774100600774026,0.6932964883383709
140,PRUNED,3.9199999999999977,128,256,0.000325854192149553,1,8000,0.6523556935356817,0.4227335898868649,0.4174801522035687
141,COMPLETE,4.599999999999996,64,512,0.00010510652991592858,3,8000,0.624950632788293,0.3553971026799777,0.43091180602097495
142,PRUNED,60.87199999999967,64,512,0.0001365624176787837,5,500,0.6666607665836257,0.31041486184053946,0.38990403564080905
143,PRUNED,53.26299999999944,64,256,0.00029989074384712905,5,1000,0.6784157642036013,0.3681775375884028,0.3703232375989734
144,PRUNED,126.17600000000004,128,256,0.0003809371540773755,3,8000,0.31261926435659176,0.47899735833751517,0.6487799089999389
145,PRUNED,46.84299999999984,64,256,0.00028493265039987914,5,1000,0.6871885131226354,0.3086971513268565,0.3389783282134567
146,COMPLETE,4.699999999999996,64,256,0.0002626262754518952,3,8000,0.6626800327513613,0.41351566996390743,0.34129535944387224
147,COMPLETE,35.00000000000019,64,256,0.00013797298709753342,5,1000,0.6077344055554409,0.3390395448683784,0.37072792864225873
148,PRUNED,427.49499999999006,64,256,0.00011672812282781594,3,8000,0.6895583512605061,0.45812115987029084,0.3575921558486991
149,PRUNED,25.24599999999994,128,256,0.0002245036857102764,3,8000,0.5920017729092536,0.3214597128355057,0.41911569045445657
150,PRUNED,4.420999999999997,128,256,6.955749450180865e-05,3,8000,0.5535260181530832,0.3092661033790904,0.4758018044644935
151,PRUNED,94.74799999999988,32,512,0.0007979042499109948,3,8000,0.44197823331295794,0.5027876667839759,0.6716077324008909
152,PRUNED,67.69999999999925,128,512,0.0008521064593700618,3,2000,0.3479571636762519,0.42118121252480367,0.6623532702979635
153,PRUNED,106.85300000000046,128,512,0.00013676724991489814,5,8000,0.6311234569293285,0.334601090580407,0.48688009755780065
154,PRUNED,103.3079999999991,64,256,0.00039561974750366546,3,8000,0.6925259312635409,0.3609098150331783,0.33691101479889274
155,PRUNED,3.0940000000000016,32,256,4.623075020370536e-05,5,500,0.5504855679676195,0.5786790805111907,0.5110760220733503
156,RUNNING,,128,256,7.659144741636664e-05,3,2000,0.6015901426017014,0.44008382965183107,0.3656616513132812
