number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
99,PRUNED,5.776999999999992,0.1,0.014814380237206994,0.9415441839053296,512,4.395282125483168e-05,128,4,4096,0.7376981040799747
100,COMPLETE,5.324999999999994,0.1,0.016760532064445787,0.9670243790359879,512,0.0006834536108293372,256,4,4096,0.3573151102559844
101,COMPLETE,43.42500000000028,0.3,0.007107437483129521,0.9305991889337106,256,0.00014108881666309234,128,4,4096,0.6572337950549618
102,PRUNED,29.413999999999973,0.3,0.012005083556422365,0.924229818979372,256,0.0008837465446066567,128,3,4096,0.5413408833795635
103,COMPLETE,35.800000000000196,0.3,0.014980357306874902,0.9479093474556635,256,0.0003201324346628193,128,4,4096,0.7096307609371248
104,PRUNED,60.30699999999988,0.1,0.01392593613337716,0.9409478868493993,512,0.00011810459397751315,64,6,4096,0.5677163897485996
105,PRUNED,57.49899999999947,0.1,0.02226701910107743,0.9608162632131053,512,0.00019115555425107422,64,4,4096,0.5662504126012453
106,PRUNED,4.370999999999997,0.1,0.0074246107006109684,0.9254225064982449,256,4.075502642662959e-05,128,4,8192,0.7657033324258573
107,COMPLETE,39.700000000000244,0.3,0.0074280601669232515,0.9196355111320198,256,0.00018222005308155854,128,4,4096,0.39137170777735086
108,COMPLETE,98.0249999999989,0.3,0.009237775210644303,0.9640988728509091,256,0.0002034303020778181,128,4,4096,0.5553668325088825
109,PRUNED,6.885999999999991,0.1,0.023793859392857636,0.9768880841321271,512,0.0003443315978016616,256,3,4096,0.43391013878368806
110,PRUNED,61.56899999999945,0.3,0.008244099447183021,0.9547145867425741,256,0.0002661643015912168,128,4,4096,0.7264752331045132
111,COMPLETE,947.4000000001156,0.3,0.007216898866133973,0.9056098222138018,256,7.832860272374178e-05,128,4,4096,0.6817524423749051
112,COMPLETE,156.1249999999963,0.3,0.008193350537631164,0.910387391668577,256,0.00029193784584181546,128,4,4096,0.6328123396723068
113,COMPLETE,41.12500000000026,0.1,0.029808328531467133,0.9296200586704931,256,0.0002808028959409883,128,10,4096,0.7465016220079842
114,COMPLETE,27.025000000000112,0.3,0.012380850189690882,0.9154746380470818,256,0.0007602913139339297,256,4,4096,0.37346200502135196
115,PRUNED,51.50899999999949,0.1,0.01964738100676035,0.9614778684269308,256,0.00013071237606555663,128,10,4096,0.9707514602877924
116,PRUNED,40.1949999999997,0.3,0.006389924189242246,0.9119684765124725,256,0.0005164865494158721,128,4,4096,0.5490546978623694
117,PRUNED,5.817999999999995,0.1,0.02352737087404424,0.9534545707533606,256,6.722661914745662e-05,128,3,4096,0.9118242205635125
118,PRUNED,55.42599999999966,0.1,0.020347925975784328,0.9423496988793211,256,0.00017021806347548968,128,10,4096,0.8279238157471662
119,COMPLETE,15.724999999999978,0.3,0.006524241189252649,0.9042449615581482,256,0.00036668096157288943,128,4,4096,0.678566292973607
120,PRUNED,6.247999999999993,0.1,0.03976861622526886,0.979284343118068,256,3.853337592948694e-05,128,10,4096,0.8071677023177432
121,PRUNED,7.71899999999999,0.3,0.01916935041486753,0.9220517904207949,256,0.0002745446746101769,256,4,8192,0.62627803074728
122,COMPLETE,2.0000000000000013,0.3,0.012308835661410389,0.9397652100577917,256,0.00026841364187676095,256,4,4096,0.5574678433900417
123,PRUNED,49.262999999999664,0.3,0.015306570523883746,0.9182094385112648,256,0.0006940014745174247,256,4,4096,0.5680150969823007
124,PRUNED,51.28299999999971,0.1,0.02847581249798292,0.9456519898204293,256,0.00023603393963021068,256,3,4096,0.8760775508575492
125,PRUNED,62.63499999999937,0.2,0.017292816411548707,0.9579410235310719,512,6.878958466510395e-05,64,4,4096,0.6121608842424264
126,COMPLETE,259.8499999999927,0.2,0.018812753693998818,0.9480479333615502,256,7.165043772362615e-05,64,10,4096,0.9886600616003314
127,COMPLETE,332.30000000000564,0.1,0.02547404215230622,0.9584930668689023,512,0.00014605756498650233,128,6,4096,0.8638097410263748
